date,IBM,isPartial
2017-12-14 22:05:00,66,False
2017-12-14 22:06:00,68,False
2017-12-14 22:07:00,73,False
2017-12-14 22:08:00,51,False
2017-12-14 22:09:00,90,False
2017-12-14 22:10:00,79,False
2017-12-14 22:11:00,63,False
2017-12-14 22:12:00,86,False
2017-12-14 22:13:00,72,False
2017-12-14 22:14:00,68,False
2017-12-14 22:15:00,91,False
2017-12-14 22:16:00,71,False
2017-12-14 22:17:00,77,False
2017-12-14 22:18:00,67,False
2017-12-14 22:19:00,69,False
2017-12-14 22:20:00,59,False
2017-12-14 22:21:00,90,False
2017-12-14 22:22:00,85,False
2017-12-14 22:23:00,71,False
2017-12-14 22:24:00,71,False
2017-12-14 22:25:00,60,False
2017-12-14 22:26:00,86,False
2017-12-14 22:27:00,69,False
2017-12-14 22:28:00,88,False
2017-12-14 22:29:00,78,False
2017-12-14 22:30:00,65,False
2017-12-14 22:31:00,75,False
2017-12-14 22:32:00,71,False
2017-12-14 22:33:00,68,False
2017-12-14 22:34:00,82,False
2017-12-14 22:35:00,77,False
2017-12-14 22:36:00,65,False
2017-12-14 22:37:00,66,False
2017-12-14 22:38:00,87,False
2017-12-14 22:39:00,68,False
2017-12-14 22:40:00,71,False
2017-12-14 22:41:00,91,False
2017-12-14 22:42:00,100,False
2017-12-14 22:43:00,86,False
2017-12-14 22:44:00,65,False
2017-12-14 22:45:00,67,False
2017-12-14 22:46:00,72,False
2017-12-14 22:47:00,71,False
2017-12-14 22:48:00,82,False
2017-12-14 22:49:00,76,False
2017-12-14 22:50:00,65,False
2017-12-14 22:51:00,67,False
2017-12-14 22:52:00,56,False
2017-12-14 22:53:00,77,False
2017-12-14 22:54:00,65,False
2017-12-14 22:55:00,66,False
2017-12-14 22:56:00,63,False
2017-12-14 22:57:00,77,False
2017-12-14 22:58:00,60,False
2017-12-14 22:59:00,57,False
2017-12-14 23:00:00,81,False
2017-12-14 23:01:00,100,False
2017-12-14 23:02:00,79,False
2017-12-14 23:03:00,97,False
